student_id,age,gender,socioeconomic_status,parent_education_level,attendance_rate,study_hours_per_week,quiz_average,assignment_submission_rate,engagement_index,financial_assistance,internet_access,learning_device_type,previous_grades,subject_difficulty,final_exam_score,preferred_learning_style,course_enrolled,interest_tags,pass_fail,risk_level,dropout_likelihood
1001,22,Female,Low,College,0.97,11.2,45.5,0.99,0.54,No,Stable,Laptop,57.4,Moderate,87.8,Kinesthetic,BSBA,"Teaching, Research",Pass,Safe,0.48
1002,19,Male,Low,High School,0.5,10.1,60.2,0.49,0.41,No,Limited,Desktop,57.7,Moderate,85.2,Visual,BSBA,"Accounting, Finance",Pass,At Risk,0.8
1003,23,Male,Middle,High School,0.61,10.4,71.4,0.68,0.72,No,Stable,Smartphone,92.7,Moderate,42.2,Kinesthetic,BSIT,"Teaching, Research",Fail,At Risk,0.56
1004,20,Female,High,High School,0.68,15.5,83.9,0.81,0.52,Yes,Stable,Laptop,70.0,Moderate,63.7,Reading,BSA,"Game Dev, Robotics",Fail,Moderate,0.65
1005,22,Female,Low,Elementary,0.74,3.0,40.2,0.64,0.91,No,Limited,Laptop,85.5,Easy,95.8,Kinesthetic,BSIT,"Leadership, Marketing",Pass,Moderate,0.33
1006,25,Male,Middle,College,0.93,7.4,68.0,0.98,1.0,Yes,Stable,Tablet,78.8,Hard,47.5,Reading,BSA,"Game Dev, Robotics",Fail,Safe,0.07
1007,18,Male,Middle,High School,0.54,2.4,57.8,0.83,0.83,No,Limited,Smartphone,80.4,Moderate,84.2,Visual,BSIT,"Teaching, Research",Pass,At Risk,0.55
1008,22,Female,Low,College,0.9,15.3,91.2,0.79,0.36,No,Stable,Smartphone,55.9,Hard,98.5,Reading,BSBA,"Teaching, Research",Pass,Safe,0.68
1009,23,Male,Middle,Graduate,0.53,6.2,82.9,0.85,0.5,No,None,Smartphone,60.5,Easy,43.1,Kinesthetic,BSBA,"Game Dev, Robotics",Fail,At Risk,0.74
1010,20,Female,Low,College,0.92,18.1,75.3,0.97,0.38,No,Stable,Laptop,85.4,Moderate,80.9,Auditory,BSA,"Programming, AI",Pass,Safe,0.65
1011,19,Female,Middle,High School,0.53,11.0,56.6,0.94,0.76,No,Stable,Laptop,93.7,Moderate,68.1,Reading,BSIT,"Programming, AI",Fail,At Risk,0.6
1012,23,Male,Low,Elementary,0.51,16.2,94.6,0.83,0.84,Yes,Stable,Smartphone,61.8,Moderate,74.8,Reading,BSA,"Programming, AI",Fail,At Risk,0.57
